Notes :,
,
,
2023-10-21 ¿ÀÀü 12:31:01,
Volts,
Ch : LED 2,Ch : LED 3
7.82E-02,5.95E-02
7.82E-02,5.97E-02
7.81E-02,5.96E-02
7.82E-02,5.96E-02
7.81E-02,5.96E-02
7.82E-02,5.95E-02
7.81E-02,5.96E-02
7.81E-02,5.97E-02
7.81E-02,5.97E-02
7.81E-02,5.95E-02
7.81E-02,5.97E-02
7.81E-02,5.97E-02
7.81E-02,5.97E-02
7.82E-02,5.97E-02
7.81E-02,5.97E-02
7.81E-02,5.96E-02
7.82E-02,5.96E-02
7.80E-02,5.96E-02
7.81E-02,5.97E-02
7.81E-02,5.96E-02
7.81E-02,5.97E-02
7.81E-02,5.97E-02
7.80E-02,5.98E-02
7.81E-02,5.98E-02
7.80E-02,5.99E-02
7.80E-02,5.98E-02
7.80E-02,5.97E-02
7.80E-02,5.99E-02
7.81E-02,5.98E-02
7.80E-02,5.99E-02
7.81E-02,5.99E-02
7.81E-02,5.98E-02
7.80E-02,5.97E-02
7.81E-02,5.99E-02
7.80E-02,5.99E-02
7.79E-02,5.98E-02
7.78E-02,5.94E-02
7.75E-02,5.90E-02
7.72E-02,5.86E-02
7.70E-02,5.82E-02
7.66E-02,5.80E-02
7.65E-02,5.77E-02
7.62E-02,5.74E-02
7.62E-02,5.73E-02
7.62E-02,5.72E-02
7.62E-02,5.72E-02
7.63E-02,5.75E-02
7.62E-02,5.76E-02
7.63E-02,5.76E-02
7.64E-02,5.78E-02
7.64E-02,5.79E-02
7.65E-02,5.79E-02
7.65E-02,5.82E-02
7.66E-02,5.81E-02
7.66E-02,5.80E-02
7.67E-02,5.82E-02
7.68E-02,5.83E-02
7.67E-02,5.83E-02
7.67E-02,5.82E-02
7.67E-02,5.83E-02
7.67E-02,5.84E-02
7.67E-02,5.85E-02
7.68E-02,5.84E-02
7.70E-02,5.86E-02
7.69E-02,5.86E-02
7.68E-02,5.85E-02
7.69E-02,5.87E-02
7.69E-02,5.85E-02
7.69E-02,5.85E-02
7.68E-02,5.84E-02
7.69E-02,5.84E-02
7.69E-02,5.84E-02
7.68E-02,5.85E-02
7.68E-02,5.84E-02
7.68E-02,5.83E-02
7.69E-02,5.83E-02
7.70E-02,5.84E-02
7.68E-02,5.85E-02
7.70E-02,5.85E-02
7.69E-02,5.85E-02
7.69E-02,5.85E-02
7.71E-02,5.86E-02
7.70E-02,5.88E-02
7.71E-02,5.87E-02
7.70E-02,5.87E-02
7.71E-02,5.87E-02
7.71E-02,5.87E-02
7.71E-02,5.88E-02
7.71E-02,5.89E-02
7.72E-02,5.88E-02
7.72E-02,5.90E-02
7.73E-02,5.89E-02
7.72E-02,5.90E-02
7.73E-02,5.90E-02
7.73E-02,5.91E-02
7.73E-02,5.90E-02
7.73E-02,5.90E-02
7.73E-02,5.91E-02
7.73E-02,5.93E-02
7.74E-02,5.91E-02
7.74E-02,5.92E-02
7.75E-02,5.92E-02
7.74E-02,5.92E-02
7.74E-02,5.92E-02
7.73E-02,5.92E-02
7.74E-02,5.94E-02
7.74E-02,5.93E-02
7.74E-02,5.92E-02
7.74E-02,5.93E-02
7.74E-02,5.92E-02
7.74E-02,5.94E-02
